Student_ID,Age,Gender,School_Type,Study_Hours_Per_Week,Attendance_Rate,Previous_Grade,Parental_Education,Family_Income,Extracurricular_Activities,Absences,Has_Tutor,Sleep_Hours,Internet_Access,Final_Grade
1031,16,Female,Public,13.9,75.0,52.5,PhD,Low,5,4,0,7.5,0,67.5
1032,19,Male,Public,14.3,99.3,74.5,Master,Medium,2,11,1,6.7,1,83.4
1033,17,Male,Public,11.1,95.1,71.0,High School,Low,0,6,0,7.2,0,67.4
1034,17,Female,Private,12.8,89.9,67.1,High School,Medium,1,9,0,10.6,0,68.5
1035,16,Female,Public,13.6,85.3,81.0,Master,Medium,2,12,1,6.5,1,82.5
1036,19,Female,Private,23.1,91.5,61.2,Master,High,1,6,0,7.3,1,82.8
1037,16,Male,Public,19.7,78.7,80.0,Bachelor,Low,1,7,0,6.2,1,92.2
1038,16,Female,Public,19.7,98.8,81.7,High School,Low,0,9,0,6.8,1,95.1
1039,18,Female,Public,16.8,71.8,88.0,Bachelor,Low,3,9,1,5.8,0,86.3
1040,18,Female,Public,9.4,88.3,61.5,Bachelor,High,5,12,0,5.7,1,63.7
1041,18,Female,Public,14.8,92.5,56.9,PhD,Medium,3,12,0,4.8,1,81.9
1042,17,Female,Public,19.9,80.6,78.3,High School,High,4,8,0,5.7,1,82.1
1043,19,Female,Private,8.7,86.4,71.6,Bachelor,High,3,8,0,7.3,1,81.0
1044,19,Male,Public,18.2,98.8,100.0,High School,High,2,4,1,6.6,1,100.0
1045,19,Male,Public,26.6,97.3,80.5,Bachelor,Low,0,13,1,6.7,1,100.0
1046,19,Male,Private,20.3,95.9,75.7,High School,Medium,1,13,1,6.5,1,94.8
1047,18,Male,Public,22.1,92.2,72.9,Master,High,0,7,0,7.2,1,93.5
1048,17,Male,Private,16.1,79.2,60.4,High School,Low,5,11,0,7.1,1,84.5
1049,17,Male,Public,19.8,80.3,81.8,Bachelor,Medium,4,8,1,7.0,1,94.9
1050,18,Male,Private,11.4,100.0,74.1,Bachelor,Medium,4,8,1,6.6,0,100.0
1051,17,Male,Public,19.0,87.1,74.1,Master,Medium,4,7,0,7.9,1,84.9
1052,18,Female,Public,18.3,88.1,76.1,Master,High,1,5,0,4.6,1,90.3
1053,19,Female,Public,16.4,97.6,77.7,High School,Medium,4,8,0,6.1,1,95.0
1054,18,Male,Public,21.6,99.8,54.1,High School,Medium,5,7,1,6.0,1,77.9
1055,19,Female,Public,12.3,91.7,85.0,Bachelor,Medium,4,6,1,7.8,1,93.0
1056,19,Female,Public,14.1,80.4,64.8,Bachelor,Medium,4,10,0,6.4,1,73.4
1057,16,Male,Public,15.5,96.5,73.3,High School,Medium,5,5,0,5.8,1,81.0
1058,18,Male,Public,9.9,87.1,90.4,Master,High,5,6,0,7.2,1,90.8
1059,16,Male,Private,16.1,98.9,96.4,High School,High,1,6,0,8.0,1,96.7
1060,18,Female,Public,6.4,99.3,54.6,PhD,Medium,4,12,0,7.9,0,78.6
1061,18,Female,Public,20.2,97.2,75.4,High School,Medium,2,12,0,8.1,1,86.1
1062,16,Male,Public,15.2,72.8,78.3,High School,Low,0,11,0,7.1,1,73.7
1063,16,Male,Public,12.4,74.7,56.9,Bachelor,Low,4,5,0,7.3,1,68.5
1064,18,Male,Public,10.8,93.2,84.6,Bachelor,Low,4,4,0,6.7,1,77.1
1065,17,Male,Private,13.8,100.0,76.4,High School,Medium,0,12,1,6.6,1,82.9
1066,19,Male,Private,18.4,95.7,77.3,Master,Low,4,9,1,5.8,1,76.0
1067,16,Male,Public,17.7,95.6,64.0,Bachelor,Low,5,3,1,7.8,1,100.0
1068,19,Female,Private,11.5,99.8,80.0,High School,Low,4,8,0,4.8,1,81.7
1069,17,Female,Public,10.8,97.4,85.1,Master,Medium,2,6,0,5.4,1,84.6
1070,17,Male,Public,18.3,98.4,76.5,PhD,Low,5,8,0,9.2,1,90.0
1071,17,Female,Public,11.4,91.0,68.8,Bachelor,Medium,3,8,0,6.9,1,80.9
1072,16,Male,Public,15.3,99.9,69.8,Master,Medium,1,7,1,7.2,1,100.0
1073,17,Male,Public,15.6,69.0,77.6,High School,Medium,1,7,0,5.5,1,84.0
1074,16,Male,Public,16.6,99.2,75.6,High School,High,0,5,0,7.6,1,90.1
1075,17,Female,Public,19.3,77.7,85.9,Bachelor,Low,2,12,0,8.6,1,96.9
1076,19,Female,Public,8.7,95.3,69.2,PhD,High,1,4,1,8.7,1,92.1
1077,19,Female,Public,5.4,97.9,60.4,Bachelor,Medium,0,9,0,5.2,0,53.1
1078,18,Male,Private,12.2,91.2,79.3,High School,Low,0,6,0,8.4,1,84.1
1079,19,Female,Public,24.0,92.7,69.3,Bachelor,Medium,0,11,0,7.0,1,96.6
1080,18,Male,Public,25.1,99.3,84.4,High School,High,1,5,1,4.0,1,100.0
1081,19,Female,Public,24.2,76.4,75.1,High School,Medium,3,11,0,5.2,1,86.0
1082,16,Male,Public,14.0,89.0,82.9,Bachelor,Low,0,7,0,4.7,1,65.5
1083,19,Male,Public,6.1,89.7,62.8,Bachelor,High,4,8,1,7.7,1,73.1
1084,18,Female,Public,3.3,87.0,76.7,High School,Medium,3,2,0,6.8,1,85.5
1085,18,Female,Public,11.9,97.8,66.6,High School,Medium,3,6,0,6.2,0,80.0
1086,17,Male,Public,14.0,83.6,60.4,Bachelor,High,4,8,0,6.9,1,66.3
1087,16,Female,Public,21.5,90.6,64.7,Bachelor,Medium,1,8,0,9.1,1,90.5
1088,19,Male,Public,19.3,93.1,68.5,Bachelor,Low,1,9,0,6.6,1,86.2
1089,17,Female,Public,16.1,99.8,89.9,Master,Medium,2,7,1,7.4,1,100.0
1090,19,Female,Public,10.6,94.8,68.1,High School,High,1,4,0,7.8,1,76.5
1091,19,Female,Private,10.2,95.0,59.7,High School,Low,2,8,0,5.5,1,78.1
1092,17,Female,Public,16.3,97.3,76.6,Master,Low,0,3,0,7.7,1,91.4
1093,17,Female,Private,18.5,66.9,75.4,Bachelor,Low,1,9,1,8.1,1,93.1
1094,17,Male,Public,17.0,94.3,69.1,Bachelor,Low,1,6,0,8.2,1,80.3
1095,17,Female,Private,9.8,97.3,73.1,PhD,Low,4,6,0,6.8,1,83.4
1096,17,Male,Public,18.3,91.7,86.7,Bachelor,High,0,4,0,8.1,1,92.3
1097,19,Male,Public,17.1,84.9,83.0,High School,High,5,6,1,7.6,1,100.0
1098,17,Male,Private,9.6,98.1,82.0,PhD,Low,5,8,0,7.1,1,81.3
1099,16,Male,Public,11.1,87.4,60.8,High School,Medium,2,8,0,8.1,1,73.9
1100,18,Female,Public,18.4,98.0,100.0,Bachelor,Medium,0,11,1,9.1,0,100.0
1101,17,Male,Public,13.8,96.8,87.6,Bachelor,Low,5,11,0,8.1,1,87.6
1102,17,Female,Public,22.9,95.9,81.2,Bachelor,Low,3,7,0,6.9,1,96.2
1103,19,Male,Private,17.5,92.0,61.0,Bachelor,Low,4,11,1,6.4,0,87.3
1104,17,Male,Public,12.6,79.6,86.4,Bachelor,Medium,3,8,0,7.6,1,97.3
1105,17,Male,Public,14.9,95.0,69.0,Master,Medium,5,4,0,7.2,1,71.8
1106,17,Male,Public,15.3,94.3,72.7,PhD,Low,2,8,0,8.3,1,88.6
1107,19,Male,Public,11.4,95.3,54.8,High School,Low,1,8,0,5.9,1,84.0
1108,17,Female,Public,10.4,89.7,60.1,Master,High,1,5,0,8.2,1,64.7
1109,18,Male,Public,18.5,96.5,80.3,High School,Medium,1,9,1,5.3,0,91.5
1110,19,Female,Public,19.2,89.5,87.1,High School,Medium,2,7,0,6.8,0,100.0
1111,18,Male,Public,18.0,75.6,83.2,PhD,High,3,11,0,7.7,1,81.2
1112,19,Male,Private,22.6,53.8,82.8,Bachelor,Low,2,15,1,6.9,1,100.0
1113,17,Female,Public,12.3,96.1,74.2,High School,Medium,2,11,0,7.5,1,92.5
1114,18,Male,Public,23.4,93.0,70.1,Bachelor,Medium,3,12,1,8.7,1,100.0
1115,19,Male,Public,10.5,99.5,78.5,High School,Medium,5,14,0,6.3,1,56.0
1116,16,Male,Public,9.9,76.7,84.9,Bachelor,High,1,11,1,5.3,1,76.0
1117,17,Male,Public,6.2,71.5,75.1,Bachelor,Medium,4,8,1,5.6,1,77.8
1118,19,Female,Private,12.8,97.5,89.5,Master,Low,2,5,0,6.9,1,85.3
1119,16,Male,Public,12.5,96.1,72.4,High School,Low,2,9,0,8.5,1,84.0
1120,19,Female,Private,17.6,55.1,63.2,High School,Medium,3,10,1,6.6,1,97.2
1121,16,Female,Public,16.2,75.1,74.9,High School,Medium,5,6,1,9.6,0,96.0
1122,17,Male,Public,9.0,90.4,76.3,High School,Low,4,11,0,5.5,1,75.0
1123,18,Female,Public,13.0,84.6,74.0,PhD,Medium,2,11,0,4.9,0,72.9
1124,16,Male,Public,13.1,87.4,90.4,PhD,High,0,7,0,7.3,0,100.0
1125,19,Female,Public,6.1,91.7,84.7,Master,Low,4,8,1,6.3,1,87.3
1126,17,Male,Private,10.1,68.5,57.8,Bachelor,High,2,7,0,6.1,1,60.4
1127,16,Female,Public,11.1,99.8,93.4,Master,Low,4,3,1,7.0,1,87.3
1128,19,Male,Private,22.2,84.5,42.1,High School,Medium,5,7,0,5.5,1,71.5
1129,19,Male,Private,16.0,97.1,100.0,High School,Medium,0,8,0,7.7,1,95.0
1130,19,Female,Public,18.3,98.5,71.6,Bachelor,Medium,0,10,1,7.2,1,89.0
1131,16,Female,Public,7.5,98.6,72.7,Master,Low,4,9,0,6.6,1,74.2
1132,16,Male,Public,21.0,93.6,74.3,Bachelor,High,1,8,0,7.3,1,100.0
1133,16,Male,Private,21.5,94.2,79.6,Bachelor,Low,4,4,1,9.3,0,100.0
1134,18,Female,Public,5.0,99.7,75.0,High School,Medium,3,10,0,6.7,1,65.2
1135,16,Female,Public,11.5,73.8,73.4,Bachelor,Medium,1,4,0,6.4,1,69.3
1136,16,Female,Public,17.5,99.1,90.7,Master,Medium,5,12,0,7.8,1,100.0
1137,16,Female,Public,18.2,84.0,81.8,Bachelor,Medium,0,7,0,6.2,1,81.2
1138,18,Female,Public,11.6,78.2,63.5,Bachelor,Medium,1,10,0,7.6,1,61.7
1139,16,Female,Public,13.5,83.7,83.9,Bachelor,Low,0,5,0,8.0,1,84.5
1140,19,Male,Public,12.0,90.5,81.3,Master,Medium,0,9,0,8.7,1,86.6
1141,16,Male,Public,15.6,95.6,68.5,Bachelor,Low,0,7,1,6.6,1,87.0
1142,19,Female,Public,21.0,79.6,84.5,Bachelor,Low,3,13,1,5.4,1,96.1
1143,19,Female,Public,11.1,96.8,73.1,Bachelor,Medium,3,7,0,6.7,1,85.4
1144,19,Male,Public,20.0,73.5,72.3,High School,Medium,2,6,0,7.2,1,97.5
1145,18,Male,Public,11.1,98.1,72.0,Master,Low,5,13,0,6.3,0,77.1
1146,18,Female,Public,10.8,95.3,45.9,PhD,Medium,3,8,1,7.2,1,73.8
1147,18,Male,Public,19.1,94.5,68.7,Bachelor,Medium,5,8,0,9.1,1,100.0
1148,16,Male,Public,19.6,97.3,83.6,High School,Medium,0,8,0,6.3,1,92.9
1149,19,Male,Public,19.3,98.6,74.7,Bachelor,Medium,5,11,1,6.0,1,92.2
1150,18,Male,Public,8.4,90.9,59.6,Bachelor,High,4,8,1,8.1,1,65.1
1151,18,Male,Public,12.7,93.1,86.6,High School,Medium,5,8,0,5.5,1,88.7
1152,16,Male,Public,19.1,92.5,71.4,High School,Medium,1,5,0,7.0,1,78.3
1153,18,Male,Private,15.2,88.7,60.3,Master,Low,4,10,0,6.4,1,72.4
1154,16,Female,Private,9.6,97.6,100.0,Master,Medium,0,11,1,5.0,1,80.9
1155,17,Male,Private,17.3,83.6,62.4,Master,Medium,4,9,0,6.8,1,71.0
1156,18,Female,Public,11.4,99.7,85.6,Bachelor,Medium,1,3,1,6.2,1,100.0
1157,17,Female,Public,24.0,90.5,65.8,Master,High,2,7,1,7.6,1,100.0
1158,16,Male,Public,22.7,95.1,76.6,Bachelor,Low,2,10,0,7.2,1,85.5
1159,19,Female,Public,18.0,96.0,64.2,Bachelor,Medium,5,8,0,7.2,1,88.9
1160,18,Male,Public,21.8,77.4,60.1,Master,Low,5,9,0,5.9,1,92.0
1161,16,Female,Public,15.3,95.4,81.3,PhD,Medium,3,6,0,6.3,1,91.0
1162,19,Male,Private,18.8,87.4,79.9,Master,High,4,7,0,7.3,1,100.0
1163,19,Female,Public,22.4,97.6,88.7,Master,Medium,3,7,0,5.9,1,100.0
1164,17,Female,Public,16.2,91.2,74.6,Master,Medium,3,12,0,7.0,1,92.6
1165,16,Male,Public,13.7,95.4,100.0,Bachelor,Medium,4,13,0,7.4,0,93.8
1166,19,Male,Public,6.5,94.4,78.2,Master,Low,4,8,0,7.9,1,87.7
1167,18,Female,Public,14.6,98.9,81.8,Bachelor,Low,1,7,0,6.4,1,93.6
1168,18,Female,Private,19.1,60.2,58.7,High School,Medium,4,8,1,6.5,1,84.5
1169,17,Male,Public,19.7,96.9,67.6,Master,Medium,4,8,1,7.2,1,88.7
1170,19,Female,Private,17.5,88.7,81.2,PhD,Medium,5,8,1,6.1,1,100.0
1171,16,Male,Public,12.3,92.9,74.0,Bachelor,Low,3,6,0,5.3,1,86.8
1172,18,Female,Private,5.1,98.2,77.3,Master,Medium,2,8,1,7.4,0,95.2
1173,19,Male,Public,12.5,91.3,65.2,High School,High,0,11,0,6.7,1,76.1
1174,19,Female,Public,13.5,85.6,76.5,PhD,Low,2,7,0,7.6,1,86.4
1175,17,Male,Public,13.4,96.9,76.4,Bachelor,Medium,4,4,0,6.3,1,85.8
1176,18,Male,Public,18.1,94.7,60.8,Bachelor,Medium,0,10,0,7.1,1,69.0
1177,18,Male,Private,24.9,83.1,82.7,Master,High,4,7,0,4.8,1,100.0
1178,16,Male,Public,15.6,93.2,54.6,Master,Medium,5,7,0,7.7,1,83.2
1179,18,Male,Public,13.9,94.6,77.2,Master,Medium,1,8,0,6.4,1,79.9
1180,16,Male,Private,13.7,75.6,96.2,PhD,Medium,4,10,0,6.8,1,81.3
1181,18,Female,Public,15.6,92.9,83.2,High School,Low,0,9,1,6.8,1,84.8
1182,17,Male,Public,10.9,92.3,83.1,High School,Medium,5,9,0,6.6,1,86.2
1183,18,Male,Public,15.6,98.0,64.2,Master,Medium,1,11,1,7.1,1,82.4
1184,16,Male,Public,17.3,97.8,96.2,PhD,Medium,5,3,0,7.0,1,100.0
1185,16,Male,Private,16.0,98.1,91.5,Bachelor,Low,0,9,1,7.3,1,99.2
1186,17,Male,Public,17.3,94.5,64.9,High School,Low,1,7,0,5.5,1,84.0
1187,18,Male,Public,17.2,87.9,69.3,Bachelor,Low,3,9,0,7.9,1,97.5
1188,18,Male,Public,6.1,99.5,90.1,Bachelor,Medium,0,9,0,6.9,1,83.1
1189,17,Male,Private,18.2,86.3,96.6,Master,High,3,8,0,7.4,1,100.0
1190,18,Female,Public,11.6,78.2,59.8,High School,Low,5,11,0,6.8,1,66.5
1191,18,Female,Private,9.5,95.4,63.0,High School,Low,3,12,0,5.7,1,74.0
1192,16,Male,Public,9.5,98.7,73.3,Master,High,4,11,0,10.0,1,83.1
1193,18,Male,Public,17.2,97.0,48.9,High School,Medium,2,8,1,7.2,1,73.7
1194,18,Female,Private,13.9,94.3,75.2,Master,High,1,10,1,5.1,1,83.8
1195,17,Male,Public,6.6,88.0,89.2,Bachelor,Low,0,10,0,6.9,1,86.7
1196,17,Female,Public,17.4,97.7,57.7,Bachelor,High,5,8,0,6.5,1,74.7
1197,19,Male,Public,7.8,76.6,76.5,High School,High,3,10,1,6.8,1,79.0
1198,16,Female,Public,15.7,75.9,68.0,High School,Low,5,11,0,5.0,1,75.2
1199,18,Female,Public,16.2,74.2,94.7,Bachelor,Low,4,4,0,7.0,1,91.2
1200,18,Female,Private,19.4,89.5,68.2,Master,Low,0,5,1,6.0,1,89.6
1201,19,Female,Private,23.9,85.8,93.2,Bachelor,Low,5,8,1,8.8,1,100.0
1202,18,Male,Public,8.2,95.8,67.8,High School,High,4,14,1,6.9,1,69.2
1203,16,Male,Public,14.7,57.6,84.3,Master,Medium,0,6,1,7.9,1,92.5
1204,19,Female,Public,13.6,92.9,78.0,High School,Medium,4,10,0,8.1,1,82.8
1205,16,Female,Public,17.2,97.9,73.3,PhD,High,4,5,0,7.5,1,91.2
1206,19,Male,Public,16.1,81.8,65.5,High School,Medium,2,8,0,7.2,1,83.0
1207,19,Male,Private,13.2,83.0,78.9,Bachelor,Medium,3,5,1,8.3,1,91.7
1208,17,Male,Public,12.8,94.0,69.7,High School,Low,1,4,1,6.3,1,81.6
1209,16,Male,Private,9.4,86.4,66.7,Bachelor,Medium,1,7,0,7.9,1,63.9
1210,18,Female,Public,19.9,95.0,92.7,Bachelor,High,0,9,1,6.5,1,99.6
1211,18,Male,Public,17.3,88.6,81.6,Bachelor,Low,0,4,1,7.1,0,92.7
1212,16,Male,Public,19.6,85.9,82.7,High School,Medium,5,10,0,5.5,1,77.0
1213,18,Male,Public,13.4,48.0,70.3,Master,Medium,5,4,0,5.4,1,64.5
1214,18,Male,Public,11.7,90.7,72.8,Master,Medium,2,8,1,6.9,1,92.5
1215,16,Male,Private,9.6,92.9,72.0,Bachelor,Medium,0,5,1,8.3,1,75.1
1216,19,Female,Public,16.8,79.3,79.0,Bachelor,High,1,8,0,6.8,1,92.3
1217,16,Female,Private,9.8,90.3,82.7,Bachelor,Low,3,5,1,9.0,1,84.5
1218,19,Female,Public,24.2,86.0,74.6,High School,Medium,2,7,0,7.5,1,93.7
1219,18,Male,Private,8.5,97.2,65.5,PhD,High,0,13,0,6.8,1,70.4
1220,18,Female,Public,16.4,93.0,84.1,High School,Low,2,4,0,8.8,0,96.9
1221,18,Female,Private,22.8,98.9,75.4,Bachelor,Medium,2,6,0,8.6,1,97.8
1222,17,Female,Public,18.0,94.5,57.7,Bachelor,Medium,2,5,1,5.4,1,80.5
1223,19,Male,Public,15.9,94.4,49.4,Bachelor,Low,0,10,0,7.0,1,87.4
1224,17,Male,Private,10.2,94.9,78.6,Master,Medium,4,7,0,7.6,1,81.9
1225,17,Male,Public,8.1,88.8,65.0,High School,Medium,0,6,0,7.9,1,60.4
1226,16,Male,Public,18.9,98.6,80.2,Master,High,0,8,0,7.7,1,78.7
1227,17,Male,Public,22.5,92.9,65.7,Bachelor,Medium,5,12,1,6.8,1,100.0
1228,16,Male,Private,12.8,88.1,76.6,High School,High,0,5,0,6.6,1,88.1
1229,16,Male,Public,9.3,95.3,70.5,Bachelor,Low,0,4,0,6.9,1,76.4
1230,17,Female,Public,2.7,56.0,96.0,Master,Low,0,7,0,6.1,1,67.0
1231,19,Male,Public,10.1,98.4,86.4,Bachelor,High,2,10,0,5.4,1,80.0
1232,19,Male,Public,14.4,90.2,91.2,Bachelor,High,2,12,1,7.6,1,97.2
1233,19,Female,Private,23.0,90.5,75.3,Bachelor,Low,0,7,1,7.7,1,100.0
1234,19,Female,Public,18.4,99.3,84.9,Bachelor,Medium,5,10,0,9.1,1,100.0
1235,19,Female,Public,16.5,93.5,76.1,Master,Medium,3,10,0,6.3,1,94.1
1236,17,Female,Private,13.0,80.8,92.6,High School,Medium,5,6,0,7.4,0,89.2
1237,17,Female,Public,12.1,96.9,74.1,Bachelor,High,3,7,1,6.7,1,87.3
1238,18,Female,Public,22.0,98.1,58.2,Bachelor,Medium,4,13,0,6.8,1,96.3
1239,19,Male,Public,16.0,84.5,51.0,High School,Low,3,6,0,6.2,1,78.5
1240,17,Male,Public,4.5,92.9,95.0,PhD,Medium,1,6,0,7.1,1,76.8
1241,18,Male,Public,11.6,93.5,80.7,High School,Low,1,10,1,8.7,1,68.3
1242,19,Male,Public,10.7,94.7,81.5,High School,Medium,3,4,0,6.5,1,86.1
1243,16,Male,Public,12.3,89.8,92.9,Master,Medium,0,10,0,7.5,1,97.4
1244,18,Female,Public,17.8,84.9,55.2,High School,High,3,10,0,6.3,1,76.2
1245,17,Female,Public,14.5,96.4,70.7,Master,High,1,6,0,5.2,1,70.9
1246,16,Female,Public,14.6,91.5,72.2,Master,Low,3,7,1,6.8,1,95.2
1247,16,Male,Public,21.6,94.0,83.9,High School,Medium,2,5,0,9.3,1,100.0
1248,16,Female,Public,11.5,70.0,66.7,High School,Medium,4,4,1,6.0,1,68.1
1249,18,Female,Public,24.3,100.0,60.6,High School,Low,2,5,1,5.8,1,100.0
1250,17,Male,Public,11.6,90.3,60.5,High School,Medium,5,13,1,5.9,1,73.0
1251,16,Female,Public,15.4,97.6,88.8,High School,High,2,10,1,9.2,1,100.0
1252,19,Male,Public,13.6,89.5,66.1,Master,Medium,4,8,1,8.3,0,97.5
1253,16,Male,Public,15.6,98.2,68.4,Master,Medium,0,8,0,7.8,1,89.7
1254,16,Female,Public,17.2,91.5,82.6,High School,Medium,4,7,1,8.6,1,94.5
1255,18,Male,Public,17.2,80.3,66.6,Master,Medium,0,8,0,8.1,1,80.3
1256,18,Male,Public,11.2,90.1,54.5,High School,Medium,1,9,0,6.9,1,86.3
1257,17,Female,Private,9.4,56.6,56.0,Bachelor,High,3,9,0,6.5,1,70.9
1258,19,Female,Private,27.5,99.3,74.3,High School,Low,1,7,1,8.2,1,100.0
1259,18,Male,Public,12.6,93.2,81.0,High School,Low,1,13,1,7.1,1,88.3
1260,16,Male,Public,18.5,95.9,72.6,Master,Medium,1,8,0,5.9,0,85.0
1261,17,Male,Public,7.0,97.2,80.2,Bachelor,Medium,3,6,0,7.6,1,78.7
1262,16,Female,Public,13.6,75.2,55.6,Bachelor,Medium,0,2,0,6.6,1,77.3
1263,16,Male,Public,14.4,98.1,56.5,Bachelor,Low,4,10,0,8.3,1,84.6
1264,18,Male,Public,17.4,93.1,100.0,High School,Medium,0,9,0,5.8,1,100.0
1265,17,Female,Public,2.0,94.2,89.8,Master,Medium,0,10,0,7.7,0,67.5
1266,19,Female,Public,15.8,99.6,84.2,Master,Low,2,9,0,7.2,1,92.7
1267,19,Male,Public,9.3,93.1,67.1,High School,Medium,3,8,0,7.2,1,80.6
1268,18,Male,Public,16.6,94.2,72.1,Bachelor,Low,0,10,0,7.3,1,99.4
1269,18,Female,Public,9.8,82.2,75.0,Bachelor,Low,0,11,0,6.8,1,57.5
1270,17,Male,Public,10.7,93.5,90.8,Bachelor,Medium,1,10,1,7.6,1,95.0
1271,19,Male,Public,13.6,94.1,79.8,Bachelor,Medium,5,11,1,7.3,1,100.0
1272,19,Female,Public,9.7,73.9,81.3,Bachelor,Medium,2,8,0,7.1,1,60.1
1273,19,Male,Public,12.6,95.9,73.0,PhD,Medium,4,11,0,8.4,1,95.1
1274,16,Female,Public,9.0,94.0,84.5,Bachelor,Low,5,7,1,5.4,1,99.6
1275,19,Male,Public,5.8,83.8,78.6,Bachelor,Medium,2,6,0,7.7,1,73.9
1276,16,Male,Public,20.1,70.2,75.5,Bachelor,Medium,1,7,0,7.3,1,93.2
1277,17,Male,Private,8.5,99.5,66.1,Bachelor,Low,1,11,0,7.6,1,66.6
1278,16,Male,Private,14.1,68.6,73.6,Bachelor,Medium,1,7,0,7.7,1,96.2
1279,17,Male,Public,18.8,83.3,62.0,Bachelor,Low,3,7,0,7.8,1,87.5
1280,19,Male,Public,11.9,85.8,74.5,Bachelor,Low,5,8,0,6.5,1,57.5
1281,19,Female,Public,10.9,92.3,76.1,Bachelor,Medium,1,12,1,6.2,1,90.4
1282,17,Female,Private,16.1,79.6,46.1,High School,Medium,0,10,0,7.6,1,66.4
1283,18,Female,Public,20.6,99.8,72.2,Bachelor,Medium,3,8,0,8.8,0,93.2
1284,17,Female,Private,9.2,86.3,60.9,Master,Medium,1,6,0,6.8,1,71.2
1285,18,Male,Public,14.2,89.5,81.0,Master,Low,3,5,0,5.8,1,83.4
1286,16,Female,Public,6.3,99.0,82.6,Master,Medium,0,5,0,7.9,1,80.9
1287,16,Male,Private,13.0,86.3,69.9,Bachelor,Medium,1,14,0,6.0,1,80.3
1288,16,Female,Public,15.2,95.3,81.6,High School,Medium,5,11,0,7.4,1,100.0
1289,19,Female,Public,10.7,90.1,82.1,Bachelor,High,1,5,0,5.8,1,67.7
1290,16,Female,Public,12.7,91.0,72.2,High School,Low,0,7,0,6.7,1,83.8
1291,18,Female,Public,8.0,84.2,93.4,Master,High,1,3,0,7.0,1,81.5
1292,16,Female,Public,15.4,79.1,66.3,High School,Medium,0,11,0,6.6,1,76.9
1293,17,Male,Public,20.3,96.8,92.7,Master,Medium,1,4,0,7.3,1,91.3
1294,17,Male,Public,9.5,86.9,72.3,Master,High,1,16,0,7.4,0,78.5
1295,19,Female,Public,11.9,97.6,64.9,Master,Medium,2,12,0,6.4,1,68.5
